trip_id,driver_id,timestamp,safe_driving_score,driver_category,driver_category_ar,trip_duration_minutes,avg_speed,max_speed,harsh_brakes_count,harsh_accels_count,lane_changes_count,speeding_percentage,avg_congestion,avg_visibility,road_type,actual_driver_type,time_of_day,weather,recommendation,recommendation_ar,speed_excess,speed_consistency,total_harsh_events,events_per_minute,lane_change_intensity,braking_intensity,difficult_conditions,low_visibility,combined_risk,safety_index,road_type_encoded,actual_driver_type_encoded,time_of_day_encoded,weather_encoded,driver_category_encoded
6c220ab9,7f7590dd,2025-12-11 19:33:09.632717,0.0,risky,خطر,-0.900833335918124,1.3889837466505561,1.9424838634379245,0.2139248572441172,0.5465579884216547,0.00840930913750579,-0.06117322528755272,-0.7145241528850204,1.671129913346182,highway,distracted,midday,clear,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,1.3326997827225837,0.061173225287552896,0.32726485000441896,1.575703372899113,0.9876109586951024,1.3837409751346528,0,0,0,-1.546591970367306,1,1,2,0,1
e65c5330,97a42175,2025-12-11 19:33:09.688938,61.56,moderate,معتدل,0.7346665477386007,1.9312383895166294,0.949385736103175,-0.931828365320186,-0.8447174559069723,-0.7390848364185657,-0.6050521910620229,-1.152441924504385,-1.1169909014128285,highway,safe,late_night,sandstorm,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة,-1.0968957759349798,0.6050521910620231,-0.9089855486348347,-1.1659816473511428,-1.0077202226594684,-1.2109658450936012,0,1,1,1.4980216708640375,1,3,1,4,0
b02c75f0,e388c802,2025-12-11 19:33:09.733356,0.0,risky,خطر,0.27672658031471786,-1.2188580070489767,-0.5107931353477599,0.8504544253353967,0.4145391506386463,1.0362137592771041,-0.5221545099883336,1.9129824768311685,-0.7684757995679522,city_street,aggressive,evening_rush,fog,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,0.8411539039118122,0.5221545099883341,0.7097511611856245,0.6485215317117827,1.0487376307487521,0.8076622225491971,1,1,2,-0.5889242146310036,0,0,0,1,1
707c3ae0,3685d56d,2025-12-11 19:33:09.793956,0.0,risky,خطر,-0.900833335918124,1.4121797727479126,0.9424520138558362,-0.7637845593440882,-0.6822327324817312,-0.8325216046130746,-0.6217194496905953,-1.194482030579844,1.671129913346182,highway,moderate,late_night,clear,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,-0.38399500353447563,0.6217194496905957,-0.7416477874930573,-0.7474668786782279,-0.8628601134744761,-0.7600324446490432,0,0,0,1.1180390576415198,1,2,1,0,1
9974c587,41923037,2025-12-11 19:33:09.807986,0.0,risky,خطر,-0.7699933452255859,-0.9465898974472173,-0.478645877655553,-0.0355947334476644,0.008327342075543538,-0.27190099544602103,-0.3440780099041118,0.7778996127937751,0.6255846078115531,city_street,aggressive,midday,light_rain,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,0.515226074981127,0.344078009904112,-0.021070897678464682,0.6256529185799448,0.21413363223268592,0.6356533755226337,1,0,1,-0.42931604720160166,0,0,2,3,1
7b261fce,46a4fe9a,2025-12-11 19:33:09.835563,0.0,risky,خطر,0.6038265570460628,-0.27884855602167363,0.33070861012471936,1.5328141223292484,1.7956592997531957,1.5968343684441577,-0.3690788978469705,1.6362184451677302,-0.41996069772307587,main_road,distracted,evening_rush,heavy_rain,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,0.9462576663357141,0.3690788978469709,1.6318163756403166,1.3341261833428812,1.3302907868746539,1.2367287354099026,1,1,2,-1.3009909960541537,2,1,0,2,1
34454c9c,364afe6d,2025-12-11 19:33:09.893471,0.0,risky,خطر,0.40756657100725585,-1.0652318669943528,-1.2980857796137726,0.9166535004168899,0.5364026932075772,0.47559315011005043,0.46121374909744256,-0.8266311024195777,-1.1169909014128285,residential,aggressive,night,sandstorm,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,-0.6993062908061805,-0.4612137490974422,0.7951275699314293,0.6437328050303295,0.32861128911904164,0.7716432759496176,0,1,1,-0.8227062058563954,3,0,4,4,1
93fca64a,c15e0831,2025-12-11 19:33:09.949413,0.0,risky,خطر,0.34214657566098683,-0.6682375842789384,-0.0008493809752989805,1.0235904678562249,0.658266235776508,0.2887196137210326,-0.5901393807101423,-1.0123082375861883,1.671129913346182,main_road,aggressive,late_night,clear,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,0.9313945080131417,0.5901393807101427,0.9078244294758917,0.8149207825263417,0.16517937106417854,0.9427042559604026,0,0,0,-0.4681089105201832,2,0,1,0,1
a50118de,46567657,2025-12-11 19:33:10.082300,0.0,risky,خطر,1.3234465058550218,-1.1774093702520607,-0.478645877655553,2.1998971096889095,2.4151323078119273,2.25089174580572,-0.419080673732688,1.9129824768311685,0.6255846078115531,city_street,distracted,morning_rush,light_rain,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة,0.8374381143311692,0.41908067373268815,2.2875071948080974,1.3174644227569334,1.3057212897598935,1.2400643367411304,1,0,1,-1.2590387350058587,0,1,3,3,1
920b40d4,a4e10a29,2025-12-11 19:33:10.188351,53.53,moderate,معتدل,0.7346665477386007,1.932379177685352,0.9793268094439561,-0.9216438922307255,-0.8447174559069723,-0.8325216046130746,-0.6103155358920984,-0.6900007576743359,0.6255846078115531,highway,safe,midday,light_rain,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة,-1.0480596843036718,0.6103155358920991,-0.9021554359351703,-1.1595715057914608,-1.0965054508696248,-1.201322924881506,0,0,0,1.5180920622060852,1,3,2,3,0
